date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,824850,572233,Christian Walker,4,Houston Astros,687064,Brandon Young,0.176,0.19,0.132,1.0,0.107,4.35,0.46,,,,,,0,,,,,,1,4,0.54,,,
2026-04-30,824848,514888,Jose Altuve,5,Houston Astros,605135,Chris Bassitt,0.186,0.191,0.126,1.0,0.106,4.25,0.45,,,,,,0,,,,,,0,4,-0.45,,,
2026-04-30,824848,572233,Christian Walker,4,Houston Astros,605135,Chris Bassitt,0.176,0.19,0.126,1.0,0.102,4.35,0.44,,,,,,0,,,,,,1,4,0.56,,,
2026-04-30,824850,669288,Daniel Johnson,8,Houston Astros,687064,Brandon Young,0.188,0.188,0.132,1.0,0.11,3.95,0.44,,,,,,0,,,,,,0,1,-0.44,,,
2026-04-30,823471,607208,Trea Turner,1,Philadelphia Phillies,605288,Adrian Houser,0.203,0.194,0.108,1.0,0.096,4.65,0.44,,,,,,0,,,,,,3,4,2.56,,,
2026-04-30,825016,687231,Darell Hernaiz,5,Athletics,702070,Noah Cameron,0.133,0.103,0.191,1.0,0.103,4.25,0.44,,,,,,0,,,,,,0,4,-0.44,,,
2026-04-30,824524,663993,Nathaniel Lowe,5,Cincinnati Reds,547179,Michael Lorenzen,0.136,0.163,0.15,1.0,0.098,4.25,0.42,,,,,,0,,,,,,0,4,-0.42,,,
2026-04-30,823795,545121,Ildemaro Vargas,5,Arizona Diamondbacks,605540,Brandon Woodruff,0.116,0.108,0.198,1.0,0.099,4.25,0.42,,,,,,0,,,,,,0,4,-0.42,,,
2026-04-30,823795,686217,Sal Frelick,7,Milwaukee Brewers,647336,Michael Soroka,0.119,0.058,0.248,1.0,0.105,4.05,0.42,,,,,,0,,,,,,0,5,-0.42,,,
2026-04-30,825016,805779,Jacob Wilson,1,Athletics,702070,Noah Cameron,0.115,0.09,0.191,1.0,0.089,4.65,0.41,,,,,,0,,,,,,0,5,-0.41,,,
2026-04-30,823471,547180,Bryce Harper,3,Philadelphia Phillies,605288,Adrian Houser,0.168,0.222,0.108,1.0,0.091,4.45,0.4,,,,,,0,,,,,,0,4,-0.4,,,
2026-04-30,823471,681082,Bryson Stott,5,Philadelphia Phillies,605288,Adrian Houser,0.191,0.196,0.108,1.0,0.093,4.25,0.39,,,,,,0,,,,,,2,4,1.61,,,
2026-04-30,824524,681198,TJ Rumfield,6,Colorado Rockies,671096,Andrew Abbott,0.157,0.125,0.146,1.0,0.094,4.15,0.39,,,,,,0,,,,,,1,4,0.61,,,
2026-04-30,823634,665742,Juan Soto,2,New York Mets,571945,Miles Mikolas,0.118,0.127,0.157,1.02,0.087,4.55,0.39,,,,,,0,,,,,,0,4,-0.39,,,
2026-04-30,824850,670623,Isaac Paredes,3,Houston Astros,687064,Brandon Young,0.161,0.115,0.132,1.0,0.084,4.45,0.37,,,,,,0,,,,,,0,4,-0.37,,,
2026-04-30,824850,673237,Yainer Diaz,6,Houston Astros,687064,Brandon Young,0.155,0.15,0.132,1.0,0.09,4.15,0.37,,,,,,0,,,,,,1,4,0.63,,,
